Title,Publication year,Author,Cosmere,Series,Number in series
Arcanium Unbound,2016,Brandon Sanderson,Yes,Cosmere,n/a
Babylon's Ashes,2016,James S.A. Corey,No,The Expanse,6
Cibola Burn,2014,James S.A. Corey,No,The Expanse,4
Cytonic,2021,Brandon Sanderson,No,Skyward,3
Dark One,2021,Brandon Sanderson,No,None,n/a
Dawnshard,2020,Brandon Sanderson,Yes,Stormlight,3.5
Dune,1965,Frank Herbert,No,Dune,1
Edgedancer,2017,Brandon Sanderson,Yes,Stormlight,2.5
Elantris,2005,Brandon Sanderson,Yes,Elantris,1
Evershore,2021,Janci Patterson,No,Skyward,3.1
First Fifteen Lives of Harry August,2014,Claire North,No,None,n/a
Foundation,1951,Issac Asimov,No,Foundation,n/a
Hyperion,1989,Dan Simmons,No,Hyperion Cantos,1
Leviathan Falls,2021,James S.A. Corey,No,The Expanse,9
Mistborn,2006,Brandon Sanderson,Yes,Mistborn,1
Nemesis Games,2015,James S.A. Corey,No,The Expanse,5
Oathbringer,2017,Brandon Sanderson,Yes,Stormlight,3
Open,2009,Andre Agassi,No,None,n/a
Persepolis Rising,2017,James S.A. Corey,No,The Expanse,7
Rythmn of War,2020,Brandon Sanderson,Yes,Stormlight,4
Shadows of Self,2015,Brandon Sanderson,Yes,Mistborn,5
The Alloy of Law,2011,Brandon Sanderson,Yes,Mistborn,4
The Bands of Mourning,2016,Brandon Sanderson,Yes,Misborn,6
The Colour Of Magic,1983,Terry Pratchett,No,Discworld,1
The Eye of the World,1990,Robert Jordan,No,The Wheel of Time,1
The Hero of Ages,2008,Brandon Sanderson,Yes,Mistborn,3
The Last Wish,1993,Andrzej Sapkowski,No,The Witcher,1
The Prestige,1995,Christopher Priest,No,None,n/a
The Way of Kings,2010,Brandon Sanderson,Yes,The Stormlight Archive,1
The Well of Ascension,2007,Brandon Sanderson,Yes,Mistborn,2
Tiamat's Wrath,2019,James S.A. Corey,No,The Expanse,8
Ubik,1969,Philip K. Dick,No,None,n/a
Warbreaker,2009,Brandon Sanderson,Yes,Warbreaker,1
White Sand 1,2016,Brandon Sanderson,Yes,White Sand,1
White Sand 2,2018,Brandon Sanderson,Yes,White Sand,2
White Sand 3,2019,Brandon Sanderson,Yes,White Sand,3
Words of Radiance,2014,Brandon Sanderson,Yes,Stormlight,2
A Game of Thrones,1996,George RR Martin,No,A Song of Ice and Fire,1
A Clash of Kings,1998,George RR Martin,No,A Song of Ice and Fire,2
Snow Crash,1992,Neal Stephenson,No,None,n/a
Replay,1988,Ken Grimwood,No,None,n/a
Pines,2012,Blake Crouch,No,Wayward Pines,1
Wayward,2013,Blake Crouch,No,Wayward Pines,2
The Last Town,2014,Blake Crouch,No,Wayward Pines,3
Harry Potter and the Sorcerers Stone,1997,JK Rowling,No,Harry Potter,1
Harry Potter and the Chamber of Secrets,1998,JK Rowling,No,Harry Potter,2
The Soul of War,1990,Author name IDK,No,None,n/a
